ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
ID419341856,7 Dudley St,IVANHOE,1615000.0,h,16/07/2016,4,2.0,3.0,758.0,29.0,-37.7668,145.03799999999995,19933,693.8241274598126,26.058823529411764,0,555.6666666666666,1129.0,160.66666666666666,Ivanhoe Primary School,438.95506833887595,100,Ivanhoe Girls' Grammar School,786.0317070009589,49
ID364962063,61 Henry St,NORTHCOTE,1550000.0,h,23/09/2017,4,2.0,1.0,344.0,119.0,-37.77171,144.99565,20016,207.9422833228203,21.3,0,142.0,344.6666666666667,39.333333333333336,Northcote Primary School,108.36125268043587,285,Northcote High School,589.6433932750516,178
ID876667530,12 Ibis Pl,MARIBYRNONG,884500.0,h,30/07/2016,3,2.0,2.0,211.0,14.0,-37.7848,144.8969,20025,1895.3815153230198,10.18918918918919,0,610.0,1743.6666666666667,228.0,Footscray North Primary School,1234.4697010816863,235,Footscray City College,742.8597336339329,166
ID333365499,10 Crown St,FLEMINGTON,870000.0,h,8/10/2016,3,2.0,0.0,167.0,49.0,-37.7869,144.9228,20040,545.6198172698996,18.0,0,1923.6666666666667,8979.333333333334,620.3333333333334,Kensington Primary School,769.3924923815143,116,Kensington Community High School,268.88326743902985,not ranked
ID953739669,1/48 Spencer St,ESSENDON,840000.0,u,15/10/2016,3,2.0,2.0,282.0,9.0,-37.7468,144.9051,20036,1394.8803747631332,27.0,0,334.6666666666667,1407.6666666666667,88.33333333333333,Essendon North Primary School,611.6832751979946,261,Buckley Park College,647.475722459023,123
ID749154719,39 William St,PRESTON,972500.0,h,3/06/2017,3,1.0,1.0,448.0,89.0,-37.73443,145.00201,20012,490.2804218671326,28.3,0,705.3333333333334,5479.666666666667,335.0,Preston West Primary School,657.4505080769748,52,Preston High School,890.4426979756677,not ranked
ID376639821,7 Lisa Ct,HOPPERS CROSSING,472000.0,h,27/05/2017,4,2.0,2.0,546.0,29.0,-37.85146,144.67109,47648,2987.440167056538,32.09090909090909,0,512.0,1119.6666666666667,175.66666666666666,Good News Lutheran College,577.2372413675902,179,Good News Lutheran College,577.2372413675902,520
ID532182503,1 Meldrum St,KEW EAST,1610000.0,h,12/11/2016,4,2.0,2.0,763.0,79.0,-37.7916,145.0529,19932,2244.9967520205796,26.0,1,271.6666666666667,771.6666666666666,74.0,St Anne's School,500.7931885071669,293,Kew High School,1019.4316273685342,124
ID853828515,33 Disraeli St,KEW,1440000.0,h,27/11/2016,3,1.0,1.0,298.0,119.0,-37.8021,145.0391,19904,2168.5242058960835,15.666666666666666,0,271.6666666666667,771.6666666666666,74.0,Kew Primary School,530.96823890805,356,Trinity Grammar School Kew,955.9292336441378,not ranked
ID232131653,2/1 Colite St,BULLEEN,599900.0,t,6/05/2017,2,1.0,2.0,135.0,49.0,-37.7787,145.0918,19935,3645.8525197026065,29.823529411764707,0,941.3333333333334,5813.0,575.6666666666666,Belle Vue Primary School,1232.486965297241,299,Marcellin College,913.6817209398668,169
