"sample","fit","lwr","upr"
6.19439633999999e-05,-10.764950983705,-21.0179098933119,-0.511992074098099
6.23258253512591e-05,-10.7710561469564,-21.0093753457078,-0.53273694820497
6.27100413422311e-05,-10.7771613102077,-21.0008422404497,-0.553480379965755
6.30966258847127e-05,-10.7832664734591,-20.992310583742,-0.57422236317613
6.34855935799603e-05,-10.7893716367104,-20.9837803818241,-0.594962891596737
6.3876959119242e-05,-10.7954767999618,-20.9752516409705,-0.615701958952974
6.4270737284392e-05,-10.8015819632131,-20.9667243674915,-0.636439558934706
6.46669429483693e-05,-10.8076871264645,-20.9581985677328,-0.657175685196082
6.50655910758189e-05,-10.8137922897158,-20.9496742480764,-0.677910331355227
6.54666967236381e-05,-10.8198974529671,-20.9411514149403,-0.698643490994035
6.58702750415436e-05,-10.8260026162185,-20.9326300747791,-0.71937515765787
6.62763412726454e-05,-10.8321077794698,-20.9241102340843,-0.740105324855366
6.66849107540209e-05,-10.8382129427212,-20.9155918993843,-0.760833986058124
6.70959989172958e-05,-10.8443181059725,-20.9070750772446,-0.781561134700478
6.75096212892255e-05,-10.8504232692239,-20.8985597742686,-0.802286764179211
6.79257934922826e-05,-10.8565284324752,-20.8900459970971,-0.823010867853334
6.83445312452463e-05,-10.8626335957266,-20.8815337524094,-0.843733439043767
6.87658503637967e-05,-10.8687387589779,-20.8730230469227,-0.86445447103311
6.91897667611111e-05,-10.8748439222293,-20.8645138873932,-0.88517395706535
6.96162964484667e-05,-10.8809490854806,-20.8560062806156,-0.905891890345616
7.00454555358434e-05,-10.887054248732,-20.8475002334241,-0.926608264039855
7.0477260232534e-05,-10.8931594119833,-20.838995752692,-0.947323071274624
7.09117268477553e-05,-10.8992645752347,-20.8304928453326,-0.968036305136742
7.13488717912646e-05,-10.905369738486,-20.8219915182989,-0.988747958673073
7.17887115739794e-05,-10.9114749017374,-20.8134917785845,-1.00945802489017
7.22312628086009e-05,-10.9175800649887,-20.8049936332234,-1.03016649675405
7.26765422102414e-05,-10.92368522824,-20.7964970892902,-1.05087336718988
7.31245665970564e-05,-10.9297903914914,-20.7880021539011,-1.0715786290817
7.35753528908783e-05,-10.9358955547427,-20.7795088342134,-1.09228227527209
7.40289181178571e-05,-10.9420007179941,-20.7710171374262,-1.11298429856194
7.44852794091025e-05,-10.9481058812454,-20.7625270707808,-1.13368469171007
7.49444540013315e-05,-10.9542110444968,-20.7540386415606,-1.15438344743302
7.54064592375188e-05,-10.9603162077481,-20.7455518570916,-1.17508055840465
7.58713125675526e-05,-10.9664213709995,-20.737066724743,-1.19577601725594
7.63390315488929e-05,-10.9725265342508,-20.7285832519271,-1.21646981657457
7.68096338472356e-05,-10.9786316975022,-20.7201014460996,-1.23716194890472
7.72831372371785e-05,-10.9847368607535,-20.7116213147604,-1.25785240674662
7.7759559602894e-05,-10.9908420240049,-20.7031428654533,-1.27854118255641
7.82389189388031e-05,-10.9969471872562,-20.6946661057668,-1.29922826874564
7.87212333502568e-05,-11.0030523505076,-20.686191043334,-1.31991365768109
7.92065210542181e-05,-11.0091575137589,-20.6777176858335,-1.34059734168434
7.96948003799516e-05,-11.0152626770103,-20.669246040989,-1.36127931303154
8.01860897697146e-05,-11.0213678402616,-20.6607761165702,-1.38195956395299
8.06804077794548e-05,-11.027473003513,-20.652307920393,-1.40263808663287
8.11777730795098e-05,-11.0335781667643,-20.6438414603197,-1.42331487320885
8.16782044553138e-05,-11.0396833300156,-20.6353767442595,-1.44398991577183
8.21817208081057e-05,-11.045788493267,-20.6269137801685,-1.4646632063655
8.26883411556441e-05,-11.0518936565183,-20.6184525760506,-1.48533473698609
8.31980846329249e-05,-11.0579988197697,-20.6099931399574,-1.50600449958194
8.37109704929045e-05,-11.064103983021,-20.6015354799888,-1.52667248605322
8.42270181072263e-05,-11.0702091462724,-20.5930796042932,-1.54733868825152
8.47462469669535e-05,-11.0763143095237,-20.5846255210679,-1.56800309797954
8.52686766833039e-05,-11.0824194727751,-20.5761732385595,-1.58866570699067
8.5794326988392e-05,-11.0885246360264,-20.5677227650641,-1.60932650698871
8.63232177359728e-05,-11.0946297992778,-20.5592741089281,-1.62998548962743
8.68553689021933e-05,-11.1007349625291,-20.550827278548,-1.65064264651024
8.73908005863453e-05,-11.1068401257805,-20.5423822823711,-1.67129796918981
8.79295330116264e-05,-11.1129452890318,-20.5339391288959,-1.6919514491677
8.84715865259018e-05,-11.1190504522832,-20.5254978266724,-1.71260307789394
8.90169816024747e-05,-11.1251556155345,-20.5170583843023,-1.73325284676672
8.95657388408582e-05,-11.1312607787859,-20.5086208104398,-1.75390074713195
9.01178789675543e-05,-11.1373659420372,-20.5001851137915,-1.77454677028289
9.0673422836836e-05,-11.1434711052885,-20.4917513031174,-1.79519090745974
9.12323914315356e-05,-11.1495762685399,-20.4833193872305,-1.8158331498493
9.17948058638364e-05,-11.1556814317912,-20.474889374998,-1.83647348858448
9.23606873760714e-05,-11.1617865950426,-20.4664612753412,-1.857111914744
9.2930057341524e-05,-11.1678917582939,-20.458035097236,-1.87774841935187
9.35029372652368e-05,-11.1739969215453,-20.4496108497135,-1.89838299337712
9.40793487848227e-05,-11.1801020847966,-20.44118854186,-1.91901562773325
9.46593136712825e-05,-11.186207248048,-20.4327681828181,-1.93964631327788
9.52428538298277e-05,-11.1923124112993,-20.4243497817863,-1.96027504081236
9.58299913007076e-05,-11.1984175745507,-20.4159333480201,-1.98090180108126
9.64207482600409e-05,-11.204522737802,-20.407518890832,-2.00152658477204
9.70151470206542e-05,-11.2106279010534,-20.3991064195922,-2.0221493825145
9.76132100329251e-05,-11.2167330643047,-20.3906959437289,-2.0427701848805
9.82149598856288e-05,-11.2228382275561,-20.3822874727288,-2.06338898238337
9.88204193067927e-05,-11.2289433908074,-20.3738810161373,-2.08400576547755
