"sample","fit","lwr","upr"
6.19439633999999e-05,2.37287106263734,0.636612688700377,4.1091294365743
6.23258253512591e-05,2.37293610478539,0.639156944541146,4.10671526502963
6.27100413422311e-05,2.37300114693344,0.641700873916544,4.10430141995033
6.30966258847127e-05,2.37306618908148,0.644244475422257,4.10188790274071
6.34855935799603e-05,2.37313123122953,0.646787747646088,4.09947471481298
6.3876959119242e-05,2.37319627337758,0.649330689167911,4.09706185758725
6.4270737284392e-05,2.37326131552563,0.651873298559611,4.09464933249165
6.46669429483693e-05,2.37332635767368,0.654415574385032,4.09223714096233
6.50655910758189e-05,2.37339139982173,0.65695751519992,4.08982528444353
6.54666967236381e-05,2.37345644196978,0.659499119551871,4.08741376438768
6.58702750415436e-05,2.37352148411782,0.66204038598027,4.08500258225538
6.62763412726454e-05,2.37358652626587,0.664581313016237,4.08259173951551
6.66849107540209e-05,2.37365156841392,0.667121899182568,4.08018123764527
6.70959989172958e-05,2.37371661056197,0.669662142993684,4.07777107813026
6.75096212892255e-05,2.37378165271002,0.672202042955561,4.07536126246448
6.79257934922826e-05,2.37384669485807,0.674741597565684,4.07295179215045
6.83445312452463e-05,2.37391173700612,0.67728080531298,4.07054266869925
6.87658503637967e-05,2.37397677915416,0.679819664677764,4.06813389363057
6.91897667611111e-05,2.37404182130221,0.682358174131673,4.06572546847275
6.96162964484667e-05,2.37410686345026,0.684896332137611,4.06331739476291
7.00454555358434e-05,2.37417190559831,0.687434137149686,4.06090967404694
7.0477260232534e-05,2.37423694774636,0.689971587613149,4.05850230787957
7.09117268477553e-05,2.37430198989441,0.692508681964331,4.05609529782449
7.13488717912646e-05,2.37436703204246,0.695045418630583,4.05368864545433
7.17887115739794e-05,2.37443207419051,0.697581796030211,4.0512823523508
7.22312628086009e-05,2.37449711633855,0.700117812572414,4.04887642010469
7.26765422102414e-05,2.3745621584866,0.702653466657219,4.04647085031599
7.31245665970564e-05,2.37462720063465,0.705188756675418,4.04406564459389
7.35753528908783e-05,2.3746922427827,0.707723681008499,4.0416608045569
7.40289181178571e-05,2.37475728493075,0.71025823802859,4.03925633183291
7.44852794091025e-05,2.3748223270788,0.712792426098381,4.03685222805921
7.49444540013315e-05,2.37488736922685,0.715326243571066,4.03444849488263
7.54064592375188e-05,2.37495241137489,0.717859688790271,4.03204513395952
7.58713125675526e-05,2.37501745352294,0.720392760089993,4.02964214695589
7.63390315488929e-05,2.37508249567099,0.72292545579452,4.02723953554746
7.68096338472356e-05,2.37514753781904,0.725457774218377,4.0248373014197
7.72831372371785e-05,2.37521257996709,0.727989713666244,4.02243544626793
7.7759559602894e-05,2.37527762211514,0.730521272432894,4.02003397179738
7.82389189388031e-05,2.37534266426319,0.733052448803118,4.01763287972326
7.87212333502568e-05,2.37540770641123,0.735583241051656,4.01523217177081
7.92065210542181e-05,2.37547274855928,0.738113647443127,4.01283184967544
7.96948003799516e-05,2.37553779070733,0.740643666231954,4.01043191518271
8.01860897697146e-05,2.37560283285538,0.743173295662288,4.00803237004847
8.06804077794548e-05,2.37566787500343,0.745702533967945,4.00563321603891
8.11777730795098e-05,2.37573291715148,0.74823137937232,4.00323445493064
8.16782044553138e-05,2.37579795929953,0.750759830088322,4.00083608851073
8.21817208081057e-05,2.37586300144758,0.753287884318291,3.99843811857686
8.26883411556441e-05,2.37592804359562,0.755815540253927,3.99604054693732
8.31980846329249e-05,2.37599308574367,0.758342796076212,3.99364337541113
8.37109704929045e-05,2.37605812789172,0.760869649955333,3.99124660582811
8.42270181072263e-05,2.37612317003977,0.763396100050601,3.98885024002894
8.47462469669535e-05,2.37618821218782,0.765922144510381,3.98645427986526
8.52686766833039e-05,2.37625325433587,0.768447781472001,3.98405872719973
8.5794326988392e-05,2.37631829648392,0.770973009061684,3.98166358390615
8.63232177359728e-05,2.37638333863196,0.773497825394456,3.97926885186947
8.68553689021933e-05,2.37644838078001,0.776022228574077,3.97687453298595
8.73908005863453e-05,2.37651342292806,0.778546216692946,3.97448062916318
8.79295330116264e-05,2.37657846507611,0.781069787832032,3.97208714232019
8.84715865259018e-05,2.37664350722416,0.783592940060778,3.96969407438754
8.90169816024747e-05,2.37670854937221,0.786115671437027,3.96730142730739
8.95657388408582e-05,2.37677359152026,0.788637980006932,3.96490920303358
9.01178789675543e-05,2.37683863366831,0.791159863804872,3.96251740353174
9.0673422836836e-05,2.37690367581635,0.793681320853365,3.96012603077934
9.12323914315356e-05,2.3769687179644,0.796202349162983,3.95773508676582
9.17948058638364e-05,2.37703376011245,0.798722946732265,3.95534457349264
9.23606873760714e-05,2.3770988022605,0.801243111547624,3.95295449297338
9.2930057341524e-05,2.37716384440855,0.803762841583262,3.95056484723384
9.35029372652368e-05,2.3772288865566,0.806282134801081,3.94817563831211
9.40793487848227e-05,2.37729392870465,0.808800989150589,3.9457868682587
9.46593136712825e-05,2.37735897085269,0.811319402568809,3.94339853913658
9.52428538298277e-05,2.37742401300074,0.81383737298019,3.9410106530213
9.58299913007076e-05,2.37748905514879,0.816354898296514,3.93862321200107
9.64207482600409e-05,2.37755409729684,0.818871976416796,3.93623621817688
9.70151470206542e-05,2.37761913944489,0.821388605227197,3.93384967366258
9.76132100329251e-05,2.37768418159294,0.823904782600923,3.93146358058495
9.82149598856288e-05,2.37774922374099,0.826420506398134,3.92907794108384
9.88204193067927e-05,2.37781426588904,0.828935774465845,3.92669275731223
9.94296111645538e-05,2.37787930803708,0.831450584637821,3.92430803143635
0.000100042558468023,2.37794435018513,0.833964934734495,3.92192376563577
