"sample","fit","lwr","upr"
6.19439633999999e-05,-6.57161664128232,-9.0686180070119,-4.07461527555273
6.23258253512591e-05,-6.57548472319545,-9.06892060577484,-4.08204884061606
6.27100413422311e-05,-6.57935280510858,-9.0692236740442,-4.08948193617295
6.30966258847127e-05,-6.58322088702171,-9.06952721383962,-4.09691456020379
6.34855935799603e-05,-6.58708896893484,-9.06983122719204,-4.10434671067763
6.3876959119242e-05,-6.59095705084797,-9.07013571614382,-4.11177838555212
6.4270737284392e-05,-6.5948251327611,-9.0704406827488,-4.1192095827734
6.46669429483693e-05,-6.59869321467423,-9.07074612907238,-4.12664030027608
6.50655910758189e-05,-6.60256129658736,-9.07105205719164,-4.13407053598309
6.54666967236381e-05,-6.60642937850049,-9.07135846919533,-4.14150028780565
6.58702750415436e-05,-6.61029746041362,-9.07166536718405,-4.14892955364319
6.62763412726454e-05,-6.61416554232675,-9.07197275327027,-4.15635833138324
6.66849107540209e-05,-6.61803362423988,-9.07228062957842,-4.16378661890134
6.70959989172958e-05,-6.62190170615301,-9.072588998245,-4.17121441406102
6.75096212892255e-05,-6.62576978806614,-9.07289786141864,-4.17864171471364
6.79257934922826e-05,-6.62963786997927,-9.07320722126018,-4.18606851869837
6.83445312452463e-05,-6.6335059518924,-9.07351707994277,-4.19349482384204
6.87658503637967e-05,-6.63737403380554,-9.07382743965195,-4.20092062795912
6.91897667611111e-05,-6.64124211571866,-9.07413830258573,-4.2083459288516
6.96162964484667e-05,-6.6451101976318,-9.07444967095469,-4.2157707243089
7.00454555358434e-05,-6.64897827954493,-9.07476154698206,-4.22319501210779
7.0477260232534e-05,-6.65284636145806,-9.0750739329038,-4.23061879001231
7.09117268477553e-05,-6.65671444337119,-9.0753868309687,-4.23804205577368
7.13488717912646e-05,-6.66058252528432,-9.07570024343846,-4.24546480713017
7.17887115739794e-05,-6.66445060719745,-9.07601417258781,-4.25288704180709
7.22312628086009e-05,-6.66831868911058,-9.07632862070455,-4.26030875751661
7.26765422102414e-05,-6.67218677102371,-9.07664359008969,-4.26772995195773
7.31245665970564e-05,-6.67605485293684,-9.07695908305751,-4.27515062281617
7.35753528908783e-05,-6.67992293484997,-9.07727510193567,-4.28257076776427
7.40289181178571e-05,-6.6837910167631,-9.0775916490653,-4.2899903844609
7.44852794091025e-05,-6.68765909867623,-9.0779087268011,-4.29740947055136
7.49444540013315e-05,-6.69152718058936,-9.07822633751142,-4.3048280236673
7.54064592375188e-05,-6.69539526250249,-9.07854448357838,-4.3122460414266
7.58713125675526e-05,-6.69926334441562,-9.07886316739795,-4.3196635214333
7.63390315488929e-05,-6.70313142632875,-9.07918239138004,-4.32708046127746
7.68096338472356e-05,-6.70699950824188,-9.07950215794864,-4.33449685853513
7.72831372371785e-05,-6.71086759015501,-9.07982246954185,-4.34191271076818
7.7759559602894e-05,-6.71473567206815,-9.08014332861206,-4.34932801552423
7.82389189388031e-05,-6.71860375398128,-9.08046473762599,-4.35674277033656
7.87212333502568e-05,-6.72247183589441,-9.08078669906483,-4.36415697272398
7.92065210542181e-05,-6.72633991780754,-9.08110921542433,-4.37157062019075
7.96948003799516e-05,-6.73020799972067,-9.08143228921487,-4.37898371022646
8.01860897697146e-05,-6.7340760816338,-9.08175592296164,-4.38639624030595
8.06804077794548e-05,-6.73794416354693,-9.08208011920468,-4.39380820788918
8.11777730795098e-05,-6.74181224546006,-9.08240488049901,-4.40121961042111
8.16782044553138e-05,-6.74568032737319,-9.08273020941474,-4.40863044533164
8.21817208081057e-05,-6.74954840928632,-9.08305610853717,-4.41604071003547
8.26883411556441e-05,-6.75341649119945,-9.08338258046692,-4.42345040193198
8.31980846329249e-05,-6.75728457311258,-9.08370962782,-4.43085951840516
8.37109704929045e-05,-6.76115265502571,-9.08403725322797,-4.43826805682346
8.42270181072263e-05,-6.76502073693884,-9.084365459338,-4.44567601453969
8.47462469669535e-05,-6.76888881885197,-9.08469424881303,-4.45308338889091
