"sample","fit","lwr","upr"
6.19439633999999e-05,4.45985487792874,2.27845291262216,6.64125684323532
6.23258253512591e-05,4.45623901560585,2.27798668989494,6.63449134131675
6.27100413422311e-05,4.45262315328296,2.27752005922815,6.62772624733776
6.30966258847127e-05,4.44900729096006,2.27705301884732,6.62096156307281
6.34855935799603e-05,4.44539142863717,2.27658556696788,6.61419729030646
6.3876959119242e-05,4.44177556631428,2.27611770179514,6.60743343083341
6.4270737284392e-05,4.43815970399139,2.2756494215242,6.60066998645857
6.46669429483693e-05,4.43454384166849,2.27518072433986,6.59390695899713
6.50655910758189e-05,4.4309279793456,2.27471160841655,6.58714435027466
6.54666967236381e-05,4.42731211702271,2.27424207191831,6.58038216212711
6.58702750415436e-05,4.42369625469982,2.27377211299864,6.57362039640099
6.62763412726454e-05,4.42008039237693,2.2733017298005,6.56685905495335
6.66849107540209e-05,4.41646453005403,2.27283092045617,6.56009813965189
6.70959989172958e-05,4.41284866773114,2.27235968308724,6.55333765237505
6.75096212892255e-05,4.40923280540825,2.27188801580446,6.54657759501204
6.79257934922826e-05,4.40561694308536,2.27141591670774,6.53981796946298
6.83445312452463e-05,4.40200108076247,2.27094338388602,6.53305877763891
6.87658503637967e-05,4.39838521843957,2.27047041541723,6.52630002146192
6.91897667611111e-05,4.39476935611668,2.26999700936818,6.51954170286518
6.96162964484667e-05,4.39115349379379,2.2695231637945,6.51278382379307
7.00454555358434e-05,4.3875376314709,2.26904887674057,6.50602638620122
7.0477260232534e-05,4.383921769148,2.26857414623941,6.4992693920566
7.09117268477553e-05,4.38030590682511,2.26809897031262,6.49251284333761
7.13488717912646e-05,4.37669004450222,2.26762334697031,6.48575674203413
7.17887115739794e-05,4.37307418217933,2.267147274211,6.47900109014766
7.22312628086009e-05,4.36945831985644,2.26667075002153,6.47224588969134
7.26765422102414e-05,4.36584245753354,2.26619377237701,6.46549114269008
7.31245665970564e-05,4.36222659521065,2.26571633924071,6.4587368511806
7.35753528908783e-05,4.35861073288776,2.26523844856397,6.45198301721155
7.40289181178571e-05,4.35499487056487,2.26476009828615,6.44522964284358
7.44852794091025e-05,4.35137900824198,2.26428128633451,6.43847673014944
7.49444540013315e-05,4.34776314591908,2.26380201062412,6.43172428121404
7.54064592375188e-05,4.34414728359619,2.26332226905782,6.42497229813457
7.58713125675526e-05,4.3405314212733,2.26284205952607,6.41822078302053
7.63390315488929e-05,4.33691555895041,2.26236137990691,6.4114697379939
7.68096338472356e-05,4.33329969662752,2.26188022806585,6.40471916518918
7.72831372371785e-05,4.32968383430462,2.26139860185578,6.39796906675346
7.7759559602894e-05,4.32606797198173,2.26091649911688,6.39121944484658
7.82389189388031e-05,4.32245210965884,2.26043391767652,6.38447030164116
7.87212333502568e-05,4.31883624733595,2.25995085534921,6.37772163932269
7.92065210542181e-05,4.31522038501305,2.25946730993643,6.37097346008968
7.96948003799516e-05,4.31160452269016,2.25898327922661,6.36422576615371
8.01860897697146e-05,4.30798866036727,2.25849876099501,6.35747855973953
8.06804077794548e-05,4.30437279804438,2.25801375300359,6.35073184308516
8.11777730795098e-05,4.30075693572149,2.25752825300098,6.34398561844199
8.16782044553138e-05,4.29714107339859,2.25704225872232,6.33723988807487
8.21817208081057e-05,4.2935252110757,2.2565557678892,6.33049465426221
8.26883411556441e-05,4.28990934875281,2.25606877820954,6.32374991929608
8.31980846329249e-05,4.28629348642992,2.25558128737752,6.31700568548232
8.37109704929045e-05,4.28267762410703,2.25509329307344,6.31026195514061
8.42270181072263e-05,4.27906176178413,2.25460479296364,6.30351873060463
8.47462469669535e-05,4.27544589946124,2.25411578470041,6.29677601422207
8.52686766833039e-05,4.27183003713835,2.25362626592187,6.29003380835483
8.5794326988392e-05,4.26821417481546,2.25313623425186,6.28329211537905
8.63232177359728e-05,4.26459831249256,2.25264568729984,6.27655093768529
8.68553689021933e-05,4.26098245016967,2.25215462266081,6.26981027767853
8.73908005863453e-05,4.25736658784678,2.25166303791516,6.2630701377784
8.79295330116264e-05,4.25375072552389,2.2511709306286,6.25633052041917
8.84715865259018e-05,4.250134863201,2.25067829835203,6.24959142804996
8.90169816024747e-05,4.2465190008781,2.25018513862143,6.24285286313477
8.95657388408582e-05,4.24290313855521,2.24969144895777,6.23611482815265
9.01178789675543e-05,4.23928727623232,2.24919722686688,6.22937732559776
9.0673422836836e-05,4.23567141390943,2.24870246983932,6.22264035797953
9.12323914315356e-05,4.23205555158654,2.24820717535034,6.21590392782274
9.17948058638364e-05,4.22843968926364,2.24771134085966,6.20916803766763
9.23606873760714e-05,4.22482382694075,2.24721496381145,6.20243269007006
9.2930057341524e-05,4.22120796461786,2.24671804163415,6.19569788760157
9.35029372652368e-05,4.21759210229497,2.24622057174039,6.18896363284954
9.40793487848227e-05,4.21397623997207,2.24572255152686,6.18222992841729
9.46593136712825e-05,4.21036037764918,2.24522397837418,6.17549677692418
9.52428538298277e-05,4.20674451532629,2.24472484964679,6.16876418100579
9.58299913007076e-05,4.2031286530034,2.24422516269284,6.16203214331395
9.64207482600409e-05,4.19951279068051,2.24372491484404,6.15530066651697
9.70151470206542e-05,4.19589692835761,2.24322410341557,6.14856975329966
9.76132100329251e-05,4.19228106603472,2.24272272570591,6.14183940636354
9.82149598856288e-05,4.18866520371183,2.24222077899676,6.1351096284269
9.88204193067927e-05,4.18504934138894,2.24171826055291,6.12838042222497
9.94296111645538e-05,4.18143347906605,2.24121516762207,6.12165179051002
0.000100042558468023,4.17781761674315,2.24071149743479,6.11492373605152
